team,ign,real_name,role,country,player_url,team_url
KRÜ EsportsArgentina,mwzera,Leonardo Serrati,,Argentina,https://www.vlr.gg/player/939/mwzera,https://www.vlr.gg/team/2355/kr-esports
KRÜ EsportsArgentina,Less,Felipe de Loyola Basso,,Argentina,https://www.vlr.gg/player/8447/less,https://www.vlr.gg/team/2355/kr-esports
KRÜ EsportsArgentina,Dantedeu5,Jesús Federico Larrosa,,Argentina,https://www.vlr.gg/player/41135/dantedeu5,https://www.vlr.gg/team/2355/kr-esports
KRÜ EsportsArgentina,heat,Olavo Marcelo,,Argentina,https://www.vlr.gg/player/8673/heat,https://www.vlr.gg/team/2355/kr-esports
KRÜ EsportsArgentina,Nyogen,Tomás Castiglione,staff,Argentina,https://www.vlr.gg/player/2476/nyogen,https://www.vlr.gg/team/2355/kr-esports
KRÜ EsportsArgentina,Psiarthurleon,Arthur Leon,staff,Argentina,https://www.vlr.gg/player/60310/psiarthurleon,https://www.vlr.gg/team/2355/kr-esports
LOUDBrazil,lukxo,Lucca Travaioli,,Brazil,https://www.vlr.gg/player/28716/lukxo,https://www.vlr.gg/team/6961/loud
LOUDBrazil,Darker,Sebastián Castro Cicuamia,,Brazil,https://www.vlr.gg/player/10557/darker,https://www.vlr.gg/team/6961/loud
LOUDBrazil,erde,Roberto Lobos,,Brazil,https://www.vlr.gg/player/29242/erde,https://www.vlr.gg/team/6961/loud
LOUDBrazil,tkzin,Enzo Zimiani,loan,Brazil,https://www.vlr.gg/player/41224/tkzin,https://www.vlr.gg/team/6961/loud
LOUDBrazil,cauanzin,Cauan Pereira,,Brazil,https://www.vlr.gg/player/6193/cauanzin,https://www.vlr.gg/team/6961/loud
G2 EsportsUnited States,valyn,Jacob Batio,,United States,https://www.vlr.gg/player/3885/valyn,https://www.vlr.gg/team/11058/g2-esports
G2 EsportsUnited States,jawgemo,Alexander Mor,,United States,https://www.vlr.gg/player/3993/jawgemo,https://www.vlr.gg/team/11058/g2-esports
G2 EsportsUnited States,BABYBAY,Andrej Francisty,,United States,https://www.vlr.gg/player/2170/babybay,https://www.vlr.gg/team/11058/g2-esports
G2 EsportsUnited States,trent,Trent Cairns,,United States,https://www.vlr.gg/player/15500/trent,https://www.vlr.gg/team/11058/g2-esports
G2 EsportsUnited States,leaf,Nathan Orf,,United States,https://www.vlr.gg/player/7873/leaf,https://www.vlr.gg/team/11058/g2-esports
Cloud9United States,FireBallOps,Cameron Tomaselli,,United States,https://www.vlr.gg/player/10053/fireballops,https://www.vlr.gg/team/188/cloud9
Cloud9United States,Zellsis,Jordan Montemurro,,United States,https://www.vlr.gg/player/729/zellsis,https://www.vlr.gg/team/188/cloud9
Cloud9United States,Jackk,Jack Foote,,United States,https://www.vlr.gg/player/44842/jackk,https://www.vlr.gg/team/188/cloud9
Cloud9United States,OXY,Francis Hoang,,United States,https://www.vlr.gg/player/18796/oxy,https://www.vlr.gg/team/188/cloud9
Cloud9United States,v1c,Victor Truong,,United States,https://www.vlr.gg/player/17433/v1c,https://www.vlr.gg/team/188/cloud9
